"LocalID","PageID","VisitID","PageName","CatName","CatID","ExtCatName","ExtCatID","TopicName","TopicID","TimeOnPage","PageScore","SequenceNumber"
668114,3064,9556,"zajezdy-a-dovolene-se-stanem-i-do-hotelu.htm","Hledani",2,"Rozsirene",3,"Obecne",1000,30,30,1
668115,3227,9557,"turecko-tureckem-ve-znamenÌ-p˘lmÏsÌce.htm","Zajezd",3,"Neni",-1,"Turistika",1,30,30,1
668116,3044,9558,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668117,3129,9558,"poznavaci-zajezdy","Hledani",2,"Katalog",5,"Poznavaci zajezdy s ubytovanim",8,30,50,2
668118,3044,9559,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668119,3075,9559,"n_kdojsme.asp","Info",4,"Kdo jsme",10,"Obecne",1000,30,50,2
668120,3725,9560,"paklenice.htm","Zajezd",3,"Neni",-1,"Horolezecka skola",14,30,30,1
668121,3044,9561,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668122,3067,9562,"liparske-ostrovy","Hledani",2,"Katalog",5,"Lipari",10,60,60,1
668123,3081,9562,"it·lie-sicÌlie-liparskÈ-ostrovy-s-n·vötevou-sicÌlie-dovolen·-2005-pobyt-s-v˝lety.htm","Zajezd",3,"Neni",-1,"Lipari",10,30,50,2
668124,3044,9563,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668125,3049,9564,"rafting","Hledani",2,"Katalog",5,"Rafting",24,30,30,1
668126,3163,9564,"cerna-hora","Hledani",2,"Katalog",5,"Cerna Hora",12,60,101,2
668127,3089,9564,"bulharsko","Hledani",2,"Katalog",5,"Bulharsko",15,30,62,3
668128,3116,9564,"ubytovani-s-vlastni-dopravou","Hledani",2,"Katalog",5,"Ubytovani a doprava",13,60,143,4
668129,3129,9564,"poznavaci-zajezdy","Hledani",2,"Katalog",5,"Poznavaci zajezdy s ubytovanim",8,30,78,5
668130,3058,9564,"lastminute","Hledani",2,"Katalog",5,"Lastminute",101,30,83,6
668131,3048,9564,"voda","Hledani",2,"Katalog",5,"Voda",2,60,176,7
668132,3065,9564,"n_katalog.asp","Info",4,"Zaslat katalog",7,"Obecne",1000,180,554,8
668133,3895,9565,"irsko-anglie-wales-irsko-zemÏ-keltsk˝ch-tradic-a-p¯ÌrodnÌ-parky-walesu-dovolen·-2005-.htm","Zajezd",3,"Neni",-1,"Turistika",1,120,120,1
668134,3292,9565,"irsko-anglie-wales-irsko-zemi-keltsk˝ch-tradic-a-poÌrodnÌ-parky-walesu-.htm","Zajezd",3,"Neni",-1,"Turistika",1,30,50,2
668135,3663,9566,"chorvatsko-n·rodnÌ-parky-a-p¯ÌrodnÌ-kr·sy-chorvatska.htm","Zajezd",3,"Neni",-1,"Pobyty s vylety",6,30,30,1
668136,4150,9567,"hron-bystr·-¯eka-s-dopravou.htm","Zajezd",3,"Neni",-1,"Voda",2,30,30,1
668137,4596,9568,"dovolena-firmy","Hledani",2,"Katalog",5,"Neni",-1,30,30,1
668138,4596,9569,"dovolena-firmy","Hledani",2,"Katalog",5,"Neni",-1,30,30,1
668139,3136,9570,"francie-irsko-anglie-metropole-pa¯Ìû-dublin-lond˝n-pozn·vacÌ-z·jezd.htm","Zajezd",3,"Neni",-1,"Poznavaci zajezdy s ubytovanim",8,30,30,1
668140,4596,9572,"dovolena-firmy","Hledani",2,"Katalog",5,"Neni",-1,30,30,1
668141,3081,9573,"it·lie-sicÌlie-liparskÈ-ostrovy-s-n·vötevou-sicÌlie-dovolen·-2005-pobyt-s-v˝lety.htm","Zajezd",3,"Neni",-1,"Lipari",10,30,30,1
668142,3044,9574,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668143,3182,9574,"skialpinismus-lyzovani","Hledani",2,"Katalog",5,"Lyze",9,60,101,2
668144,3740,9574,"z·kladnÌ-kurz-skialpinismu-v-krkonoöÌch-.htm","Zajezd",3,"Neni",-1,"Lyze",9,30,62,3
668146,3996,9575,"zeme~71","Hledani",2,"DleZeme",2,"Obecne",1000,30,50,2
668145,3044,9575,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,120,120,1
668147,4240,9576,"skotsko-skotsko-a-ostrov-skye-+-ostrovy-harris-lewis-dovolen·-a-turistika-2005.htm","Zajezd",3,"Neni",-1,"Turistika",1,30,30,1
668148,3117,9577,"liparskÈ-ostrovy-.htm","Zajezd",3,"Neni",-1,"Ubytovani a doprava",13,30,30,1
668149,4443,9578,"cykloturistika-zahranici","Hledani",2,"Katalog",5,"Cyklo",4,30,30,1
668150,3044,9579,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668151,3044,9580,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668152,3089,9580,"bulharsko","Hledani",2,"Katalog",5,"Bulharsko",15,30,50,2
668153,3044,9581,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668154,3074,9581,"cykloturistika-zahranici","Hledani",2,"Katalog",5,"Cyklo",4,120,203,2
668155,3058,9581,"lastminute","Hledani",2,"Katalog",5,"Lastminute",101,30,62,3
668156,3169,9582,"norsko-norskÈ-fjordy.htm","Zajezd",3,"Neni",-1,"Poznavaci zajezdy s ubytovanim",8,30,30,1
668157,3047,9585,"expedice-hory","Hledani",2,"Katalog",5,"VHT",21,120,120,1
668158,3054,9585,"korsika","Hledani",2,"Katalog",5,"Korsika",11,30,50,2
668159,3077,9586,"öpanÏlsko-kouzeln·-andalusie-.htm","Zajezd",3,"Neni",-1,"Pobyty s vylety",6,30,30,1
668160,3044,9587,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,60,60,1
668161,3503,9587,"pobyty","Hledani",2,"Katalog",5,"Pobytove",0,60,101,2
668162,3546,9587,"it·lie-kal·brie-ñ-mandatoriccio-mare.htm","Zajezd",3,"Neni",-1,"Pobytove",0,120,251,3
668163,3535,9587,"öpanÏlsko-ñ-hotel-carlos*-canet-de-mar.htm","Zajezd",3,"Neni",-1,"Pobytove",0,30,71,4
668164,4406,9588,"zeme~59","Hledani",2,"DleZeme",2,"Obecne",1000,540,540,1
668165,3045,9588,"zajezdy-se-stany","Hledani",2,"Katalog",5,"Turistika",1,30,50,2
668166,3065,9588,"n_katalog.asp","Info",4,"Zaslat katalog",7,"Obecne",1000,30,62,3
668167,3044,9589,"www.poznani.cz","Info",1,"Homepage",1,"Obecne",1000,30,30,1
668168,3920,9590,"golf","Hledani",2,"Katalog",5,"Golf",25,30,30,1
