LocalID;VisitID;OdkazujiciStranka;TypOdkazovace;VstupniStranka;VstupniStrankaKat;VstupniStrankaRozKat;VstupniStrankaScore;KonverzeStranka;KonverzeStrankaKat;KonverzeStrankaRozKat;KonverzeStrankaScore;Konverze;VystupniStranka;VystupniStrankaKat;VystupniStrankaRozKat;VystupniStrankaScore;NavstivenoStranek;CelkovyCas;DenVTydnu;HodinaDne;NejTema;NejTemaScore;SirkaZajmu;PosilatNovinky;ZaslatKatalog;Slevy;Prihlaska;KdoJsme;Pojisteni;agregInfo;agregHledani;HledaniZeme;HledaniRozsirene;HledaniKW;HledaniKatalog
118140;9790;URI_41;Fulltext;www.poznani.cz;Info;Homepage;30;;;;0;0;mexiko.htm;Zajezd;Neni;78;5;180;Wednesday;10;Obecne;441;5;0;0;175;0;0;0;441;50;0;0;0;50
118141;9791;URI_42;Fulltext;www.poznani.cz;Info;Homepage;60;;;;0;0;mont-keňa-(5199-m)-–-africké-dobrodružství.htm;Zajezd;Neni;99;10;420;Wednesday;10;Exotika;528;10;0;0;0;0;0;0;60;622;0;0;0;622
118146;9796;URI_42;Fulltext;www.poznani.cz;Info;Homepage;60;www.poznani.cz;Info;Homepage;60;1;itálie-sicílie-liparské-ostrovy-s-návštevou-sicílie-dovolená-2005-pobyt-s-výlety.htm;Zajezd;Neni;71;4;180;Wednesday;10;Lipari;196;4;0;101;0;0;0;0;161;125;0;0;0;125
118148;9798;URI_0;Neni;www.poznani.cz;Info;Homepage;120;;;;0;0;španělsko-–-hotel-carlos*-canet-de-mar.htm;Zajezd;Neni;88;7;960;Wednesday;10;Poznavaci zajezdy s ubytovanim;626;7;0;0;555;0;0;0;424;1641;0;0;0;1641
118150;9800;URI_69;OstatniNerozliseno;www.poznani.cz;Info;Homepage;30;www.poznani.cz;Info;Homepage;78;1;n_katalog.asp;Info;Zaslat katalog;167;6;240;Wednesday;10;Poznavaci zajezdy s ubytovanim;471;6;0;167;0;0;0;0;275;203;0;0;0;203
118151;9801;URI_0;Neni;zajezdy-se-stany;Hledani;Katalog;30;;;;0;0;francie-bretaň.htm;Zajezd;Neni;62;3;60;Wednesday;10;Cyklo;163;3;0;0;0;0;0;0;0;131;0;0;0;131
118159;9809;URI_111;Neni;skialpinismus-lyzovani;Hledani;Katalog;30;;;;0;0;dovolena-firmy;Hledani;Katalog;62;3;60;Wednesday;11;Lyze;131;2;0;0;0;0;0;0;0;92;0;0;0;92
118166;9816;URI_111;Neni;daleke-poznavaci-cesty;Hledani;Katalog;30;;;;0;0;zajezdy-a-dovolene-se-stanem-i-do-hotelu.htm;Hledani;Rozsirene;92;8;1020;Wednesday;11;Turistika;1377;8;0;0;0;0;0;0;0;1253;0;92;0;1161
118168;9818;URI_9;katalog;www.poznani.cz;Info;Homepage;60;;;;0;0;pohodový-týden-v-alpách-xi.-–-perla-alp-silvretta-.htm;Zajezd;Neni;62;3;120;Wednesday;11;Alpy;163;3;0;0;0;0;0;0;60;101;0;0;0;101
118170;9820;URI_9;katalog;www.poznani.cz;Info;Homepage;60;;;;0;0;hotelbusy;Hledani;Katalog;78;5;240;Wednesday;11;Pobyty s vylety;143;4;0;0;0;0;0;0;60;447;0;0;0;447
118175;9826;URI_111;Neni;zajezdy-a-dovolene-se-stanem-i-do-hotelu.htm;Hledani;Rozsirene;30;;;;0;0;skotsko-velký-okruh-skotskem.htm;Zajezd;Neni;88;7;660;Wednesday;11;Poznavaci zajezdy s ubytovanim;966;7;0;0;0;0;0;0;0;186;0;186;0;0
118178;9829;URI_0;Neni;www.poznani.cz;Info;Homepage;60;;;;0;0;www.poznani.cz;Info;Homepage;83;6;360;Wednesday;11;Obecne;442;6;0;0;143;0;156;0;442;50;0;0;0;50
118180;9831;URI_42;Fulltext;poznani.cz;Info;Homepage;60;;;;0;0;francie-bretaň-dcera-oceánu-.htm;Zajezd;Neni;71;4;420;Wednesday;11;Poznavaci zajezdy s ubytovanim;876;4;0;0;0;0;0;0;60;50;0;0;0;50
118181;9832;URI_0;Neni;liparske-ostrovy;Hledani;Katalog;120;;;;0;0;portugalsko-země-mořeplavců.htm;Zajezd;Neni;78;5;240;Wednesday;11;Turistika;384;5;0;0;0;0;0;0;0;364;0;0;0;364
118182;9834;URI_45;Fulltext;poznani.cz;Info;Homepage;30;;;;0;0;nepál-pro-každého.htm;Zajezd;Neni;95;9;240;Wednesday;11;Exotika;321;9;0;0;83;0;0;0;30;673;0;92;0;581
118183;9835;URI_9;katalog;www.poznani.cz;Info;Homepage;60;;;;0;0;lastminute;Hledani;Katalog;88;7;780;Wednesday;11;Turistika;1585;6;0;0;88;0;0;0;60;392;0;0;0;392
118184;9836;URI_111;Neni;pobyty;Hledani;Katalog;60;;;;0;0;pobyty;Hledani;Katalog;62;3;360;Wednesday;11;Pobytove;629;3;0;0;0;0;0;0;0;122;0;0;0;122
118187;9839;URI_111;Neni;lehka-turistika;Hledani;Katalog;60;;;;0;0;itálie-pohodový-týden-v-alpách-viii.?-dolomity-madonna-di-campiglio.htm;Zajezd;Neni;62;3;720;Wednesday;12;Poznavaci zajezdy s lehkou turistikou;1117;2;0;0;0;0;0;0;0;60;0;0;0;60
118190;9842;URI_111;Neni;lastminute;Hledani;Katalog;60;;;;0;0;lastminute;Hledani;Katalog;83;6;180;Wednesday;11;Exotika;496;6;0;0;143;0;0;0;0;264;0;0;0;264
118198;9850;URI_111;Neni;cerna-hora;Hledani;Katalog;30;;;;0;0;lefkada-letecký-pobytový-zájezd.htm;Zajezd;Neni;95;9;120;Wednesday;12;Pobytove;615;9;0;0;0;0;0;0;0;349;0;0;0;349
118199;9851;URI_38;Fulltext;bulharsko;Hledani;Katalog;30;;;;0;0;lastminute;Hledani;Katalog;62;3;60;Wednesday;12;Lyze;101;3;0;0;62;0;0;0;0;193;0;0;0;193
118200;9852;URI_111;Neni;lehka-turistika;Hledani;Katalog;120;;;;0;0;lehka-turistika;Hledani;Katalog;92;8;1200;Wednesday;12;Turistika;1354;6;0;0;0;0;0;0;0;968;0;0;0;968
118201;9853;URI_0;Neni;www.poznani.cz;Info;Homepage;30;;;;0;0;sopky-kaňony-a-kláštery-francie.htm;Zajezd;Neni;78;5;360;Wednesday;12;Turistika;825;5;0;0;0;0;0;0;30;101;0;0;0;101
118203;9855;URI_111;Neni;lehka-turistika;Hledani;Katalog;60;;;;0;0;švýcarsko-jungfrau-.htm;Zajezd;Neni;62;3;240;Wednesday;12;Turistika;304;2;0;0;0;0;0;0;0;364;0;0;0;364
118205;9857;URI_131;Partneri;www.poznani.cz;Info;Homepage;60;;;;0;0;www.poznani.cz;Info;Homepage;116;18;1500;Wednesday;12;Horska turistika;2559;18;0;0;101;0;0;0;238;769;0;0;0;769
118208;9860;URI_15;Fulltext;skolni-kolektivy;Hledani;Katalog;300;;;;0;0;školní-zájezd-anglie-londýn-(s-výletem-do-stonehenge-a-oxfordu).htm;Zajezd;Neni;99;10;600;Wednesday;12;Skolni zajezdy;1046;10;0;0;78;0;0;0;0;586;0;0;0;586
118214;9866;URI_38;Fulltext;expedice;Hledani;Katalog;30;;;;0;0;rusko-kavkaz-i-elbrus-5-663-m-letecky.htm;Zajezd;Neni;88;7;240;Wednesday;12;VHT;473;7;0;0;0;0;0;0;143;349;0;0;0;349
118218;9870;URI_0;Neni;www.poznani.cz;Info;Homepage;60;;;;0;0;rakousko-pohoří-totes-gebirge.htm;Zajezd;Neni;71;4;300;Wednesday;12;Horska turistika;500;4;0;0;0;0;0;0;60;304;0;0;0;304
118221;9874;URI_0;Neni;www.poznani.cz;Info;Homepage;240;;;;0;0;turistika-alpy;Hledani;Katalog;71;4;300;Wednesday;12;Obecne;240;4;0;0;0;0;0;0;240;121;0;0;0;121
118222;9875;URI_0;Neni;www.poznani.cz;Info;Homepage;60;;;;0;0;itálie-rakousko-pohodový-týden-v-alpách-v.–-dolomity-brixen.htm;Zajezd;Neni;99;10;1080;Wednesday;12;Poznavaci zajezdy s lehkou turistikou;1658;9;0;0;0;0;0;0;60;226;0;0;0;226
118223;9876;URI_12;Fulltext;poznani.cz;Info;Homepage;60;;;;0;0;daleke-poznavaci-cesty;Hledani;Katalog;62;3;60;Wednesday;12;Obecne;110;3;0;0;0;0;0;0;60;112;0;50;0;62
